Startup Name,Amount_Cleaned,Sector_Standardized,City,State_Standardized,Investors' Name,Date_Parsed,Year
BankBazaar,₹58.48 Cr,E-Commerce,Mumbai,Maharashtra,Sachin Bansal,2011-02-22,2011
Blinkit,₹124.41 Cr,Edtech,Jaipur,Rajasthan,Blume Ventures,2021-07-17,2021
Niyo,₹93.33 Cr,Fintech,Bhubaneswar,Odisha,"Saama Capital, Blume Ventures",2022-01-08,2022
Ula,₹128.36 Cr,SaaS,Ahmedabad,Gujarat,"Vijay Shekhar Sharma, Ritesh Agarwal",2021-05-16,2021
Yellow Messenger,₹12.58 Cr,Healthtech,Hyderabad,Telangana,Falguni Nayar,2021-07-14,2021
DealShare,₹103.52 Cr,Foodtech,Jaipur,Rajasthan,"Mumbai Angels, Sachin Bansal",2020-06-11,2020
KissanKraft,₹191.67 Cr,Gaming,Chennai,Tamil Nadu,"Kalaari Capital, Steadview Capital",2024-04-05,2024
Delhivery,₹246.24 Cr,E-Commerce,Indore,Madhya Pradesh,SAIF Partners,2016-03-15,2016
Captain Fresh,₹58.73 Cr,Mobility,Bangalore,Karnataka,Saama Capital,2022-01-21,2022
Captain Fresh,₹6.98 Cr,Mobility,Bangalore,Karnataka,Mumbai Angels,2022-06-16,2022
Ecom Express,₹77.89 Cr,E-Commerce,Chennai,Tamil Nadu,Chiratae Ventures,2014-11-13,2014
Digit Insurance,₹117.75 Cr,Healthtech,Mumbai,Maharashtra,"Sachin Bansal, Kalaari Capital",2020-03-17,2020
Zostel,₹71.83 Cr,Fintech,Ahmedabad,Gujarat,Fireside Ventures,2020-07-10,2020
Licious,₹8.63 Cr,Logistics,Pune,Maharashtra,Blume Ventures,2024-11-14,2024
OkCredit,₹1386.33 Cr,E-Commerce,Delhi,Delhi,"ChrysCapital, SoftBank Vision Fund, Coatue Management, Fireside Ventures, Elevation Capital",2024-07-19,2024
NinjaCart,₹253.73 Cr,E-Commerce,Jaipur,Rajasthan,"Accel Partners, Alibaba",2017-04-29,2017
Jumbotail,₹5.86 Cr,SaaS,Lucknow,Uttar Pradesh,Matrix Partners India,2019-10-09,2019
Blinkit,₹58.39 Cr,Edtech,Bhubaneswar,Odisha,Ratan Tata,2023-07-31,2023
Vedantu,₹133.79 Cr,E-Commerce,Surat,Gujarat,Nexus Venture Partners,2016-03-11,2016
Infra.Market,₹161.80 Cr,E-Commerce,Mumbai,Maharashtra,"Peak XV Partners, SAIF Partners",2020-06-19,2020
OkCredit,₹23.84 Cr,E-Commerce,Ahmedabad,Gujarat,Mumbai Angels,2019-09-13,2019
WayCool,₹28.10 Cr,Mobility,Lucknow,Uttar Pradesh,Elevation Capital,2017-09-12,2017
Zepto,₹487.45 Cr,E-Commerce,Ahmedabad,Gujarat,"Saama Capital, Flipkart Ventures",2023-03-29,2023
Droom,₹16.79 Cr,Agritech,Mumbai,Maharashtra,Lightspeed India,2016-03-18,2016
Josh,₹19.28 Cr,Fintech,Ahmedabad,Gujarat,Accel India,2021-03-26,2021
DailyHunt,₹18.68 Cr,Fintech,Ahmedabad,Gujarat,Deepinder Goyal,2019-01-04,2019
Jupiter,₹179.59 Cr,Foodtech,Coimbatore,Tamil Nadu,"Chiratae Ventures, Fireside Ventures",2021-09-13,2021
Paytm First Games,₹6.62 Cr,Social Media,Gurgaon,Haryana,Nexus Venture Partners,2017-02-07,2017
Country Delight,₹226.53 Cr,Healthtech,Gurgaon,Haryana,"Sequoia Capital India, Blume Ventures",2023-07-24,2023
BookMyShow,₹13.17 Cr,E-Commerce,Bangalore,Karnataka,Blume Ventures,2010-11-02,2010
Moj,₹164.07 Cr,Edtech,Kolkata,West Bengal,Fireside Ventures,2022-11-17,2022
Revv,₹18.26 Cr,Fintech,Lucknow,Uttar Pradesh,Ritesh Agarwal,2020-07-16,2020
Tractor Junction,₹50.06 Cr,Logistics,Bangalore,Karnataka,Fireside Ventures,2025-08-31,2025
Niyo,₹44.90 Cr,Fintech,Chennai,Tamil Nadu,Lightspeed India,2024-03-19,2024
CarTrade,₹21.55 Cr,E-Commerce,Chandigarh,Chandigarh,Kunal Shah,2012-04-23,2012
Cars24,₹1338.83 Cr,Fintech,Bangalore,Karnataka,"Carlyle Group, Matrix Partners India",2021-05-23,2021
Dunzo,₹22.67 Cr,SaaS,Lucknow,Uttar Pradesh,Sachin Bansal,2017-05-25,2017
Unacademy,₹38.56 Cr,Fintech,Coimbatore,Tamil Nadu,SAIF Partners,2016-10-13,2016
Blue Smart,₹226.03 Cr,Fintech,Hyderabad,Telangana,Accel India,2023-09-14,2023
Jupiter,₹47.77 Cr,Foodtech,Delhi,Delhi,Sachin Bansal,2023-06-02,2023
Zappfresh,₹171.47 Cr,Gaming,Delhi,Delhi,"Saama Capital, Andreessen Horowitz",2021-07-18,2021
Droom,₹5.42 Cr,Agritech,Mumbai,Maharashtra,Nexus Venture Partners,2018-09-01,2018
OYO Rooms,₹35.50 Cr,E-Commerce,Hyderabad,Telangana,Mumbai Angels,2019-09-23,2019
KissanKraft,₹66.64 Cr,Gaming,Delhi,Delhi,Sequoia Capital India,2024-03-08,2024
Infra.Market,₹43.05 Cr,E-Commerce,Chandigarh,Chandigarh,Lightspeed India,2021-08-24,2021
Udaan,₹69.06 Cr,Fintech,Bangalore,Karnataka,Falguni Nayar,2019-11-21,2019
Dunzo Daily,₹189.18 Cr,SaaS,Indore,Madhya Pradesh,"Peak XV Partners, Elevation Capital",2024-12-29,2024
ElasticRun,₹132.59 Cr,Gaming,Ahmedabad,Gujarat,"Peak XV Partners, Indian Angel Network",2023-03-13,2023
Drivezy,₹352.92 Cr,Social Media,Vadodara,Gujarat,Blume Ventures,2019-05-01,2019
Naukri,₹10.47 Cr,E-Commerce,Hyderabad,Telangana,Indian Angel Network,2011-07-01,2011
GoIbibo,₹155.76 Cr,E-Commerce,Pune,Maharashtra,"Flipkart Ventures, Nexus Venture Partners",2014-02-22,2014
Cure.fit,₹61.37 Cr,Mobility,Nagpur,Maharashtra,Falguni Nayar,2016-10-03,2016
PayTM,₹119.81 Cr,Mobility,Delhi,Delhi,Sequoia Capital India,2016-11-27,2016
Zomato,₹13.89 Cr,E-Commerce,Mumbai,Maharashtra,Deepinder Goyal,2015-07-08,2015
Ola Electric,₹13.60 Cr,Foodtech,Pune,Maharashtra,Nexus Venture Partners,2022-01-01,2022
BigBasket,₹75.18 Cr,E-Commerce,Mumbai,Maharashtra,"Lightspeed India, Binny Bansal",2014-04-26,2014
Upstox,₹252.86 Cr,Fintech,Pune,Maharashtra,TCS Ventures,2017-03-02,2017
Zostel,₹113.38 Cr,Fintech,Hyderabad,Telangana,"Peak XV Partners, Matrix Partners India",2021-07-29,2021
Flipkart Quick,₹57.91 Cr,SaaS,Kolkata,West Bengal,Blume Ventures,2022-11-21,2022
Zappfresh,₹40.99 Cr,Gaming,Pune,Maharashtra,Accel India,2022-10-21,2022
Udaan,₹428.03 Cr,Fintech,Gurgaon,Haryana,Sequoia Capital India,2019-01-19,2019
Zerodha,₹6.31 Cr,E-Commerce,Delhi,Delhi,Saama Capital,2013-07-26,2013
FreshToHome,₹559.01 Cr,Fintech,Chandigarh,Chandigarh,"Andreessen Horowitz, Fireside Ventures, Lightspeed Venture Partners",2021-12-21,2021
MakeMyTrip,₹63.74 Cr,E-Commerce,Kolkata,West Bengal,Blume Ventures,2014-06-15,2014
Acko,₹49.65 Cr,E-Commerce,Coimbatore,Tamil Nadu,Chiratae Ventures,2017-01-15,2017
Moj,₹15.44 Cr,Edtech,Chennai,Tamil Nadu,Kalaari Capital,2019-10-13,2019
Mobile Premier League,₹105.35 Cr,Foodtech,Chandigarh,Chandigarh,Ritesh Agarwal,2018-10-25,2018
Licious,₹12.61 Cr,Logistics,Hyderabad,Telangana,Ritesh Agarwal,2024-10-09,2024
Apna,₹7.97 Cr,Foodtech,Pune,Maharashtra,Kalaari Capital,2020-06-10,2020
Lenskart,₹66.71 Cr,E-Commerce,Hyderabad,Telangana,"Elevation Capital, Binny Bansal",2012-01-19,2012
Niyo,₹23.61 Cr,Fintech,Vadodara,Gujarat,Blume Ventures,2020-02-12,2020
Jupiter,₹99.49 Cr,Foodtech,Kochi,Kerala,"Elevation Capital, Peak XV Partners",2021-10-13,2021
Hike Messenger,₹430.63 Cr,E-Commerce,Chennai,Tamil Nadu,"Nexus Venture Partners, Google Ventures, Sequoia Capital India",2015-10-28,2015
Captain Fresh,₹55.37 Cr,Mobility,Delhi,Delhi,Nexus Venture Partners,2025-07-27,2025
ShareChat,₹166.47 Cr,Fintech,Gurgaon,Haryana,Chiratae Ventures,2024-12-19,2024
Razorpay,₹199.96 Cr,Fintech,Kolkata,West Bengal,Lightspeed India,2017-08-01,2017
INDmoney,₹24.78 Cr,Fintech,Mumbai,Maharashtra,Binny Bansal,2023-03-08,2023
MobiKwik,₹7.57 Cr,E-Commerce,Bangalore,Karnataka,Mumbai Angels,2017-10-05,2017
BharatPe,₹132.47 Cr,Healthtech,Coimbatore,Tamil Nadu,Sachin Bansal,2023-05-26,2023
Ninjacart,₹607.81 Cr,Mobility,Chennai,Tamil Nadu,"Accel Partners, Lightspeed India",2024-11-01,2024
Groww,₹236.85 Cr,Fintech,Delhi,Delhi,SoftBank Vision Fund,2018-02-12,2018
PayTM,₹158.81 Cr,Mobility,Lucknow,Uttar Pradesh,"Infosys Innovation Fund, Coatue Management",2015-03-02,2015
Zerodha,₹60.39 Cr,E-Commerce,Ahmedabad,Gujarat,Elevation Capital,2017-07-25,2017
Dunzo,₹359.77 Cr,SaaS,Kolkata,West Bengal,"Andreessen Horowitz, Peak XV Partners",2016-03-11,2016
Treebo,₹26.39 Cr,Logistics,Mumbai,Maharashtra,Kalaari Capital,2017-01-27,2017
HealthifyMe,₹10.10 Cr,E-Commerce,Kolkata,West Bengal,Binny Bansal,2015-10-09,2015
Toppr,₹49.61 Cr,E-Commerce,Mumbai,Maharashtra,Blume Ventures,2014-05-04,2014
Acko,₹475.64 Cr,E-Commerce,Hyderabad,Telangana,"SoftBank Vision Fund, Accel India, Tiger Global",2021-11-16,2021
DealShare,₹13.65 Cr,Foodtech,Bangalore,Karnataka,Vijay Shekhar Sharma,2024-11-24,2024
Zappfresh,₹13.90 Cr,Gaming,Kolkata,West Bengal,Accel India,2022-03-29,2022
Dream11,₹183.38 Cr,Edtech,Chennai,Tamil Nadu,"Andreessen Horowitz, Fireside Ventures",2021-01-10,2021
Delhivery,₹290.36 Cr,E-Commerce,Gurgaon,Haryana,"Sequoia Capital India, Blume Ventures",2017-07-30,2017
TaxiForSure,₹113.11 Cr,E-Commerce,Chennai,Tamil Nadu,Ratan Tata,2015-09-02,2015
Digit Insurance,₹118.19 Cr,Healthtech,Lucknow,Uttar Pradesh,"Saama Capital, Matrix Partners India",2021-10-12,2021
Dream11,₹289.09 Cr,Edtech,Bangalore,Karnataka,Lightspeed Venture Partners,2020-01-19,2020
BankBazaar,₹3.91 Cr,E-Commerce,Coimbatore,Tamil Nadu,Kalaari Capital,2011-09-11,2011
OLX India,₹8.45 Cr,E-Commerce,Delhi,Delhi,Kalaari Capital,2013-12-20,2013
PolicyBazaar,₹8.05 Cr,E-Commerce,Bangalore,Karnataka,Matrix Partners India,2014-08-22,2014
Slice,₹11.69 Cr,SaaS,Hyderabad,Telangana,Nexus Venture Partners,2024-06-08,2024
Captain Fresh,₹832.50 Cr,Mobility,Delhi,Delhi,"Steadview Capital, Infosys Innovation Fund, Aditya Birla Ventures",2024-11-24,2024
Cars24,₹11.99 Cr,Fintech,Pune,Maharashtra,Blume Ventures,2021-09-25,2021
Groww,₹18.06 Cr,Fintech,Ahmedabad,Gujarat,Blume Ventures,2014-02-13,2014
Paytm First Games,₹21.52 Cr,Social Media,Chandigarh,Chandigarh,Fireside Ventures,2019-08-29,2019
Milkbasket,₹28.46 Cr,E-Commerce,Gurgaon,Haryana,Nexus Venture Partners,2023-10-03,2023
Ninjacart,₹34.62 Cr,Mobility,Pune,Maharashtra,Peak XV Partners,2015-01-09,2015
FreshToHome,₹64.81 Cr,Fintech,Hyderabad,Telangana,Elevation Capital,2021-12-06,2021
Grofers,₹44.46 Cr,E-Commerce,Bangalore,Karnataka,Elevation Capital,2016-05-08,2016
Blinkit,₹24.31 Cr,Edtech,Gurgaon,Haryana,Kalaari Capital,2022-02-09,2022
Zappfresh,₹11.79 Cr,Gaming,Delhi,Delhi,Sequoia Capital India,2024-12-26,2024
Yellow Messenger,₹10.11 Cr,Healthtech,Thiruvananthapuram,Kerala,Saama Capital,2018-04-09,2018
InMobi,₹24.44 Cr,E-Commerce,Mumbai,Maharashtra,Vijay Shekhar Sharma,2013-07-11,2013
FabHotels,₹3.79 Cr,SaaS,Gurgaon,Haryana,Accel India,2017-05-24,2017
CarWale,₹5.69 Cr,SaaS,Mumbai,Maharashtra,Fireside Ventures,2017-12-25,2017
OkCredit,₹390.75 Cr,E-Commerce,Lucknow,Uttar Pradesh,"Fireside Ventures, Flipkart Ventures",2024-09-22,2024
Yellow Messenger,₹68.39 Cr,Healthtech,Bangalore,Karnataka,Ratan Tata,2018-09-25,2018
UrbanLadder,₹126.67 Cr,Fintech,Pune,Maharashtra,"Tencent, SAIF Partners",2014-09-25,2014
Milkbasket,₹55.30 Cr,E-Commerce,Bangalore,Karnataka,Sequoia Capital India,2019-02-10,2019
Meru Cabs,₹27.95 Cr,E-Commerce,Kolkata,West Bengal,Sequoia Capital India,2015-08-14,2015
Zostel,₹289.49 Cr,Fintech,Coimbatore,Tamil Nadu,Saama Capital,2021-06-18,2021
Droom,₹7.42 Cr,Agritech,Jaipur,Rajasthan,Kalaari Capital,2019-11-12,2019
KreditBee,₹87.27 Cr,Healthtech,Mumbai,Maharashtra,Chiratae Ventures,2025-09-10,2025
Zepto,₹130.25 Cr,E-Commerce,Chandigarh,Chandigarh,"Deepinder Goyal, Kunal Shah",2020-12-29,2020
KreditBee,₹409.29 Cr,Healthtech,Vadodara,Gujarat,Blume Ventures,2025-04-26,2025
CarDekho,₹36.78 Cr,E-Commerce,Mumbai,Maharashtra,Sequoia Capital India,2011-09-11,2011
Vegrow,₹4.72 Cr,Gaming,Chennai,Tamil Nadu,Fireside Ventures,2024-05-07,2024
Snapdeal,₹90.09 Cr,E-Commerce,Pune,Maharashtra,"Kunal Shah, Kalaari Capital",2012-03-05,2012
UrbanClap,₹5.90 Cr,E-Commerce,Coimbatore,Tamil Nadu,Vijay Shekhar Sharma,2011-09-13,2011
CityMall,₹146.79 Cr,Healthtech,Mumbai,Maharashtra,Bhavish Aggarwal,2021-07-25,2021
Quikr,₹35.81 Cr,E-Commerce,Delhi,Delhi,Indian Angel Network,2012-10-26,2012
Shaadi.com,₹86.34 Cr,E-Commerce,Gurgaon,Haryana,Saama Capital,2012-07-12,2012
FamPay,₹20.96 Cr,Fintech,Bangalore,Karnataka,Ritesh Agarwal,2021-09-11,2021
Zepto,₹522.84 Cr,E-Commerce,Visakhapatnam,Andhra Pradesh,"Accel India, Nexus Venture Partners",2023-07-01,2023
MakeMyTrip,₹190.29 Cr,E-Commerce,Mumbai,Maharashtra,"Sequoia Capital India, SAIF Partners",2014-05-02,2014
Country Delight,₹2.50 Cr,Healthtech,Bangalore,Karnataka,Sequoia Capital India,2019-02-04,2019
ElasticRun,₹603.23 Cr,Gaming,Delhi,Delhi,"Coatue Management, Kalaari Capital",2021-01-05,2021
Atomberg,₹70.41 Cr,SaaS,Kolkata,West Bengal,Fireside Ventures,2025-06-21,2025
Udaan,₹11.15 Cr,Fintech,Bangalore,Karnataka,Deepinder Goyal,2020-08-29,2020
Revv,₹301.74 Cr,Fintech,Indore,Madhya Pradesh,Fireside Ventures,2019-08-23,2019
Mobile Premier League,₹73.50 Cr,Foodtech,Mumbai,Maharashtra,SAIF Partners,2021-11-02,2021
Redbus,₹45.55 Cr,E-Commerce,Mumbai,Maharashtra,Elevation Capital,2015-09-27,2015
Go Digit,₹17.76 Cr,Social Media,Gurgaon,Haryana,SAIF Partners,2021-11-21,2021
Lybrate,₹22.72 Cr,Fintech,Hyderabad,Telangana,Kalaari Capital,2017-11-18,2017
Apna,₹735.00 Cr,Foodtech,Jaipur,Rajasthan,"Tiger Global, SoftBank Vision Fund",2021-07-22,2021
Khatabook,₹104.10 Cr,SaaS,Lucknow,Uttar Pradesh,Bhavish Aggarwal,2020-05-08,2020
EarlySalary,₹7.48 Cr,Mobility,Lucknow,Uttar Pradesh,Binny Bansal,2022-09-12,2022
Housing.com,₹215.88 Cr,E-Commerce,Indore,Madhya Pradesh,"Sequoia Capital India, SAIF Partners",2014-04-29,2014
Infra.Market,₹46.65 Cr,E-Commerce,Chennai,Tamil Nadu,Kunal Shah,2018-11-20,2018
DeHaat,₹508.54 Cr,E-Commerce,Gurgaon,Haryana,"Lightspeed Venture Partners, Alibaba, Naspers",2016-04-24,2016
Zomato,₹14.18 Cr,E-Commerce,Mumbai,Maharashtra,Nexus Venture Partners,2015-05-06,2015
Captain Fresh,₹24.20 Cr,Mobility,Gurgaon,Haryana,Sequoia Capital India,2023-09-29,2023
Country Delight,₹244.18 Cr,Healthtech,Bhubaneswar,Odisha,"Nexus Venture Partners, Kalaari Capital",2024-04-15,2024
Flipkart Quick,₹36.73 Cr,SaaS,Coimbatore,Tamil Nadu,Fireside Ventures,2022-09-24,2022
InMobi,₹238.73 Cr,E-Commerce,Pune,Maharashtra,Times Internet,2015-09-20,2015
ShareChat,₹3.48 Cr,Fintech,Pune,Maharashtra,Blume Ventures,2022-04-19,2022
CRED,₹121.19 Cr,Foodtech,Hyderabad,Telangana,Ratan Tata,2014-05-16,2014
FreshToHome,₹7.44 Cr,Fintech,Indore,Madhya Pradesh,Mumbai Angels,2022-06-06,2022
InMobi,₹69.08 Cr,E-Commerce,Delhi,Delhi,Deepinder Goyal,2012-07-16,2012
FirstCry,₹20.96 Cr,SaaS,Delhi,Delhi,Sequoia Capital India,2016-09-23,2016
BigBasket,₹83.43 Cr,E-Commerce,Mumbai,Maharashtra,"Elevation Capital, Chiratae Ventures",2014-01-21,2014
M2P Fintech,₹367.26 Cr,Fintech,Indore,Madhya Pradesh,Saama Capital,2021-09-17,2021
Dunzo,₹79.00 Cr,SaaS,Pune,Maharashtra,Nexus Venture Partners,2016-10-31,2016
ShareChat,₹43.66 Cr,Fintech,Delhi,Delhi,Saama Capital,2021-01-29,2021
Cars24,₹147.94 Cr,Fintech,Jaipur,Rajasthan,"Lightspeed India, Amazon Ventures",2017-08-08,2017
Amazon Fresh,₹59.75 Cr,Gaming,Hyderabad,Telangana,Kalaari Capital,2022-03-31,2022
Acko,₹133.74 Cr,E-Commerce,Bangalore,Karnataka,Peak XV Partners,2018-10-19,2018
Lybrate,₹76.35 Cr,Fintech,Pune,Maharashtra,Matrix Partners India,2015-07-11,2015
Bounce,₹53.56 Cr,Foodtech,Mumbai,Maharashtra,Bhavish Aggarwal,2018-10-06,2018
BluSmart,₹7.69 Cr,Social Media,Gurgaon,Haryana,Sachin Bansal,2022-03-12,2022
Apna,₹52.85 Cr,Foodtech,Kochi,Kerala,SAIF Partners,2021-05-29,2021
Moglix,₹9.09 Cr,Healthtech,Coimbatore,Tamil Nadu,Ratan Tata,2018-10-21,2018
Treebo,₹9.89 Cr,Logistics,Pune,Maharashtra,Indian Angel Network,2016-11-14,2016
Haptik,₹488.69 Cr,Mobility,Pune,Maharashtra,Elevation Capital,2019-12-11,2019
Licious,₹1.79 Cr,Logistics,Pune,Maharashtra,Chiratae Ventures,2022-05-22,2022
Open Network,₹3.47 Cr,Healthtech,Pune,Maharashtra,Fireside Ventures,2022-03-03,2022
Vegrow,₹4.87 Cr,Gaming,Lucknow,Uttar Pradesh,Nexus Venture Partners,2025-08-01,2025
CarDekho,₹1017.85 Cr,E-Commerce,Bangalore,Karnataka,"General Atlantic, Lightspeed Venture Partners, Naspers",2021-01-27,2021
Shadowfax,₹16.18 Cr,SaaS,Mumbai,Maharashtra,Nexus Venture Partners,2016-08-23,2016
InMobi,₹73.03 Cr,E-Commerce,Pune,Maharashtra,"Indian Angel Network, SAIF Partners",2012-12-10,2012
UrbanLadder,₹14.31 Cr,Fintech,Delhi,Delhi,Elevation Capital,2018-09-29,2018
Zostel,₹146.35 Cr,Fintech,Indore,Madhya Pradesh,Sachin Bansal,2021-08-30,2021
Verloop.io,₹720.43 Cr,Fintech,Delhi,Delhi,Naspers,2020-09-27,2020
Zebronics,₹212.87 Cr,E-Commerce,Chandigarh,Chandigarh,Fireside Ventures,2024-02-17,2024
GoIbibo,₹5.46 Cr,E-Commerce,Delhi,Delhi,Indian Angel Network,2010-10-29,2010
Yellow Messenger,₹377.29 Cr,Healthtech,Bangalore,Karnataka,"Accel India, Matrix Partners India, Infosys Innovation Fund",2021-01-27,2021
Sugar Cosmetics,₹5.39 Cr,Healthtech,Gurgaon,Haryana,Matrix Partners India,2022-12-07,2022
Apna,₹8.00 Cr,Foodtech,Bangalore,Karnataka,Bhavish Aggarwal,2021-04-12,2021
Spinny,₹259.66 Cr,SaaS,Delhi,Delhi,"Accel Partners, Lightspeed India",2019-11-07,2019
Drivezy,₹10.13 Cr,Social Media,Mumbai,Maharashtra,Ratan Tata,2016-06-11,2016
Scripbox,₹66.85 Cr,Logistics,Hyderabad,Telangana,Sequoia Capital India,2025-07-18,2025
Snapdeal,₹426.21 Cr,E-Commerce,Hyderabad,Telangana,SAIF Partners,2012-04-13,2012
Droom,₹31.07 Cr,Agritech,Bangalore,Karnataka,Accel India,2021-10-04,2021
Roposo,₹448.24 Cr,E-Commerce,Delhi,Delhi,Flipkart Ventures,2024-11-05,2024
Razorpay,₹32.74 Cr,Fintech,Delhi,Delhi,Ratan Tata,2014-11-15,2014
Flipkart Quick,₹33.55 Cr,SaaS,Chennai,Tamil Nadu,Saama Capital,2020-09-15,2020
Spinny,₹85.21 Cr,SaaS,Delhi,Delhi,"Chiratae Ventures, Elevation Capital",2019-11-27,2019
Rapido,₹161.97 Cr,E-Commerce,Gurgaon,Haryana,"Alibaba, SoftBank Vision Fund",2018-09-30,2018
Oyo,₹65.12 Cr,E-Commerce,Chennai,Tamil Nadu,Saama Capital,2017-12-15,2017
MoneyTap,₹88.03 Cr,E-Commerce,Bangalore,Karnataka,"Fireside Ventures, Blume Ventures",2012-05-03,2012
Ather Energy,₹51.10 Cr,E-Commerce,Lucknow,Uttar Pradesh,Deepinder Goyal,2022-07-06,2022
Spinny,₹4.32 Cr,SaaS,Hyderabad,Telangana,Saama Capital,2016-02-29,2016
DealShare,₹23.57 Cr,Foodtech,Gurgaon,Haryana,Deepinder Goyal,2022-09-13,2022
Yulu,₹165.79 Cr,Mobility,Pune,Maharashtra,Infosys Innovation Fund,2019-01-19,2019
MobiKwik,₹131.23 Cr,E-Commerce,Jaipur,Rajasthan,Sachin Bansal,2018-05-13,2018
Ditto Insurance,₹34.59 Cr,Logistics,Bangalore,Karnataka,Kalaari Capital,2024-07-20,2024
Toppr,₹300.56 Cr,E-Commerce,Gurgaon,Haryana,"Fireside Ventures, Chiratae Ventures",2018-01-21,2018
Ecom Express,₹32.69 Cr,E-Commerce,Gurgaon,Haryana,Falguni Nayar,2013-04-02,2013
Unacademy,₹150.40 Cr,Fintech,Mumbai,Maharashtra,Fireside Ventures,2017-06-02,2017
ONDC,₹23.45 Cr,SaaS,Pune,Maharashtra,Ratan Tata,2025-01-10,2025
Zappfresh,₹147.56 Cr,Gaming,Pune,Maharashtra,Accel India,2024-07-20,2024
Rapido,₹2205.00 Cr,E-Commerce,Thiruvananthapuram,Kerala,"ChrysCapital, Chiratae Ventures, Tencent, Sequoia Capital",2021-01-24,2021
Yatra,₹25.44 Cr,E-Commerce,Pune,Maharashtra,Blume Ventures,2012-08-14,2012
Milkbasket,₹14.77 Cr,E-Commerce,Jaipur,Rajasthan,Sequoia Capital India,2022-09-23,2022
CredAvenue,₹110.67 Cr,Mobility,Gurgaon,Haryana,Lightspeed India,2023-12-30,2023
DeHaat,₹15.32 Cr,E-Commerce,Bangalore,Karnataka,Sequoia Capital India,2013-12-13,2013
PhonePe,₹71.95 Cr,E-Commerce,Delhi,Delhi,"Nexus Venture Partners, Matrix Partners India",2018-01-18,2018
PhonePe,₹1170.51 Cr,E-Commerce,Kochi,Kerala,"TPG Capital, Tencent",2018-05-02,2018
Ninjacart,₹92.35 Cr,Mobility,Gurgaon,Haryana,"Chiratae Ventures, Elevation Capital",2017-12-30,2017
Revolt Motors,₹5.33 Cr,Fintech,Pune,Maharashtra,Binny Bansal,2023-05-30,2023
Dunzo,₹45.74 Cr,SaaS,Chennai,Tamil Nadu,Kunal Shah,2018-07-25,2018
SimplyNadu,₹12.02 Cr,SaaS,Gurgaon,Haryana,Mumbai Angels,2021-08-23,2021
FabFurnish,₹61.77 Cr,Foodtech,Kolkata,West Bengal,Nexus Venture Partners,2016-02-08,2016
Xpressbees,₹42.06 Cr,Fintech,Visakhapatnam,Andhra Pradesh,Kalaari Capital,2020-10-16,2020
CropIn,₹22.50 Cr,Agritech,Indore,Madhya Pradesh,Bhavish Aggarwal,2025-11-05,2025
DeHaat,₹604.70 Cr,E-Commerce,Bangalore,Karnataka,Matrix Partners India,2016-08-27,2016
Nykaa Fashion,₹53.86 Cr,SaaS,Lucknow,Uttar Pradesh,SAIF Partners,2024-04-03,2024
Jar,₹356.92 Cr,Healthtech,Hyderabad,Telangana,"Flipkart Ventures, SoftBank Vision Fund",2021-03-20,2021
Flipkart Quick,₹55.81 Cr,SaaS,Kolkata,West Bengal,SAIF Partners,2021-06-24,2021
Yellow Messenger,₹6.44 Cr,Healthtech,Pune,Maharashtra,SAIF Partners,2020-07-04,2020
CarWale,₹79.45 Cr,SaaS,Bangalore,Karnataka,Kunal Shah,2021-01-03,2021
Verloop.io,₹110.86 Cr,Fintech,Jaipur,Rajasthan,Lightspeed India,2021-06-16,2021
Dream11,₹54.80 Cr,Edtech,Delhi,Delhi,Chiratae Ventures,2018-06-30,2018
FamPay,₹184.52 Cr,Fintech,Lucknow,Uttar Pradesh,"SAIF Partners, Matrix Partners India",2023-07-13,2023
Zostel,₹64.39 Cr,Fintech,Coimbatore,Tamil Nadu,SAIF Partners,2020-09-04,2020
FabFurnish,₹44.59 Cr,Foodtech,Nagpur,Maharashtra,Indian Angel Network,2017-09-07,2017
Moglix,₹412.99 Cr,Healthtech,Kochi,Kerala,Kalaari Capital,2021-10-17,2021
Blinkit,₹236.70 Cr,Edtech,Bangalore,Karnataka,Sequoia Capital India,2022-02-16,2022
The Ken,₹573.64 Cr,E-Commerce,Gurgaon,Haryana,Sequoia Capital India,2022-03-09,2022
FirstCry,₹23.82 Cr,SaaS,Hyderabad,Telangana,Kunal Shah,2014-05-11,2014
Arya.ag,₹858.22 Cr,Logistics,Lucknow,Uttar Pradesh,"Sequoia Capital, General Atlantic, Carlyle Group, Everstone Capital",2025-02-03,2025
InMobi,₹261.35 Cr,E-Commerce,Gurgaon,Haryana,"Accel India, Amazon Ventures",2013-09-28,2013
Sugar Cosmetics,₹2.35 Cr,Healthtech,Lucknow,Uttar Pradesh,Binny Bansal,2022-02-14,2022
Roposo,₹7.55 Cr,E-Commerce,Lucknow,Uttar Pradesh,Blume Ventures,2019-12-15,2019
The Ken,₹32.34 Cr,E-Commerce,Mumbai,Maharashtra,Sequoia Capital India,2019-07-15,2019
CropIn,₹24.99 Cr,Agritech,Hyderabad,Telangana,Fireside Ventures,2024-03-14,2024
Noise,₹17.79 Cr,E-Commerce,Jaipur,Rajasthan,Sequoia Capital India,2024-02-12,2024
Shopclues,₹27.04 Cr,SaaS,Mumbai,Maharashtra,Ritesh Agarwal,2014-12-27,2014
CredAvenue,₹348.50 Cr,Mobility,Gurgaon,Haryana,"Accel India, Sequoia Capital",2025-07-31,2025
